doc_id,CASEID,Freedom.and.Rights,E.plurabus.Unum,representation.of.the.people,popular.will.and.equality,National.identity.and.heritage,Not.a.democracy.a.Republic,flawed.democracy,Institution.and.constitution,unclassified.other,Don.t.know,nothing.disaffected,Nothing.more.to.add,NA.
486,2060349333,1,0,0,0,0,0,0,0,0,0,0,0,0
487,2058718457,0,0,0,1,0,0,0,0,0,0,0,0,0
490,2056551095,0,0,0,1,0,0,0,0,0,0,0,0,0
491,2058252439,0,0,0,1,0,0,0,0,0,0,0,0,0
492,2058233759,0,0,0,1,0,0,0,0,0,0,0,0,0
498,2059403919,1,0,0,0,0,0,0,0,0,0,0,0,0
505,2059352053,1,0,0,0,0,0,0,0,0,0,0,0,0
506,2056575583,1,0,0,0,0,0,0,0,0,0,0,0,0
508,2058679649,1,0,0,1,0,0,0,0,0,0,0,0,0
511,2059352055,0,0,0,1,0,0,0,0,0,0,0,0,0
515,2058397699,0,0,0,1,0,0,0,0,0,0,0,0,0
516,2061694365,1,0,0,1,0,0,1,0,0,0,0,0,0
517,2058494041,0,0,0,1,0,0,0,0,0,0,0,0,0
518,2058301677,0,0,1,1,0,0,0,0,0,0,0,0,0
520,2058680183,0,0,0,1,0,0,0,1,0,0,0,0,0
527,2056106023,1,0,0,0,0,1,0,0,0,0,0,0,0
528,2057374131,0,0,0,1,0,0,0,0,0,0,0,0,0
531,2058640005,0,0,0,1,0,0,0,0,0,0,0,0,0
533,2058119343,0,0,0,0,0,0,0,1,0,0,0,0,0
534,2058327811,1,0,0,0,0,0,0,0,0,0,0,0,0
535,2055972947,1,0,0,0,0,0,0,0,0,0,0,0,0
536,2059497237,0,1,0,0,0,0,0,0,0,0,0,0,0
537,2058352617,0,0,0,1,0,0,0,0,0,0,0,0,0
538,2058846187,1,0,0,1,0,0,0,0,0,0,0,0,0
540,2057592325,0,0,0,0,0,0,0,0,0,0,1,0,0
542,2057376253,0,0,0,1,0,0,0,0,0,0,0,0,0
543,2058252153,0,0,0,1,0,0,1,0,0,0,0,0,0
544,2057497383,0,0,0,1,0,0,0,0,0,0,0,0,0
548,2058597839,1,0,0,1,0,0,0,0,0,0,0,0,0
552,2058351031,0,0,0,0,0,1,0,0,0,0,0,0,0
557,2059352065,0,0,0,0,0,0,0,0,1,0,0,0,0
563,2059352069,0,0,0,1,0,0,0,0,0,0,0,0,0
564,2058420753,0,0,0,1,0,0,0,0,0,0,0,0,0
565,2059352071,0,0,0,0,0,0,0,0,1,0,0,0,0
568,2059352073,0,0,0,1,0,0,0,0,0,0,0,0,0
571,2058716839,0,0,0,1,0,0,0,0,0,0,0,0,0
574,2058645713,0,0,0,1,0,0,0,0,0,0,0,0,0
580,2058437085,0,0,0,1,0,0,0,0,0,0,0,0,0
581,2058763881,1,0,0,0,0,0,0,0,0,0,0,0,0
582,2057435947,0,0,0,1,0,0,0,0,0,0,0,0,0
584,2057006449,0,0,0,0,0,0,0,0,0,1,0,0,0
590,2061532401,0,0,0,0,0,0,0,0,1,0,0,0,0
591,2058698181,0,0,0,1,0,0,0,0,0,0,0,0,0
595,2058781653,0,0,0,1,0,0,0,0,0,0,0,0,0
597,2058363795,0,0,0,1,0,0,0,0,0,0,0,0,0
598,2059307289,0,0,0,1,0,1,0,0,0,0,0,0,0
599,2058686025,0,0,0,1,0,0,0,0,0,0,0,0,0
602,2057903311,0,0,0,1,0,0,1,0,0,0,0,0,0
603,2059122177,1,0,0,0,0,0,1,0,0,0,0,0,0
604,2058642795,0,0,0,0,0,0,0,0,0,0,1,0,0
605,2057441743,0,0,0,0,0,1,0,0,0,0,0,0,0
606,2058672641,0,0,0,0,0,0,0,1,0,0,0,0,0
613,2058632111,0,0,0,0,0,0,0,0,1,0,0,0,0
614,2058589203,0,0,0,0,0,0,0,0,1,0,0,0,0
620,2058602953,0,0,0,0,0,0,0,0,1,0,0,0,0
621,2060730803,0,0,0,1,0,0,0,0,0,0,0,0,0
624,2057101573,0,0,0,1,0,0,0,0,0,0,0,0,0
627,2058997239,0,0,0,1,0,0,0,0,0,0,0,0,0
628,2060893685,0,0,0,0,0,0,0,1,0,0,0,0,0
630,2057934845,1,0,0,1,0,0,0,0,0,0,0,0,0
632,2057206347,0,0,0,1,0,0,0,0,0,0,0,0,0
635,2058717877,0,0,0,1,0,0,0,0,0,0,0,0,0
638,2057971265,0,0,0,1,0,0,0,0,0,0,0,0,0
639,2058329003,0,0,1,0,0,0,0,0,0,0,0,0,0
640,2059352089,0,0,0,1,0,0,0,0,0,0,0,0,0
641,2058666147,0,0,0,1,0,0,0,0,0,0,0,0,0
643,2061491479,1,0,0,0,0,0,0,0,0,0,0,0,0
647,1298557691,0,0,1,0,0,0,0,0,0,0,0,0,0
649,2058419045,0,0,1,0,0,0,0,0,0,0,0,0,0
650,2057437597,0,0,0,0,0,0,1,0,0,0,0,0,0
652,2058992815,0,0,0,1,0,0,0,0,0,0,0,0,0
657,2059442707,0,0,0,1,0,0,0,0,0,0,0,0,0
659,2058390293,0,0,0,1,0,0,0,0,0,0,0,0,0
660,2058444759,1,0,0,0,0,0,0,0,0,0,0,0,0
668,2057003307,0,0,0,0,0,0,0,1,0,0,0,0,0
671,2058396767,1,0,0,0,0,0,0,0,0,0,0,0,0
674,2058233917,0,0,0,1,0,0,0,0,0,0,0,0,0
675,2057439665,0,0,0,1,0,0,0,0,0,0,0,0,0
677,2058037441,0,0,0,0,0,0,0,0,1,0,0,0,0
679,2057497431,0,0,0,1,0,0,0,0,0,0,0,0,0
681,2061684191,0,0,0,1,0,0,0,0,0,0,0,0,0
684,2058252519,0,0,0,1,0,0,0,0,0,0,0,0,0
685,2058085449,1,0,1,0,0,0,1,0,0,0,0,0,0
687,2059430193,1,0,0,0,0,0,0,0,0,0,0,0,0
694,2058375095,0,0,0,0,0,0,0,0,1,0,0,0,0
702,2058807413,0,0,0,1,0,0,0,0,0,0,0,0,0
703,2059352115,0,0,0,1,0,0,0,0,0,0,0,0,0
706,2057498297,1,0,0,0,0,0,0,0,0,0,0,0,0
710,2058686389,1,0,0,1,0,0,0,0,0,0,0,0,0
712,2058756701,0,0,0,1,0,0,0,0,0,0,0,0,0
713,2061195891,1,0,0,0,0,0,0,0,0,0,0,0,0
714,2057872095,0,0,0,1,0,0,0,0,0,0,0,0,0
718,2059352129,0,0,0,1,0,0,0,0,0,0,0,0,0
725,2059085447,1,0,0,0,0,0,0,0,0,0,0,0,0
726,2058798587,1,0,0,1,0,0,0,0,0,0,0,0,0
729,2058706445,1,0,0,1,0,0,0,0,0,0,0,0,0
731,2059352137,0,0,0,1,0,0,0,0,0,0,0,0,0
734,2059352141,0,0,0,0,0,0,0,0,1,0,0,0,0
737,2056159255,0,0,0,0,0,0,0,0,1,0,0,0,0
741,2058823431,0,0,0,1,0,0,0,0,0,0,0,0,0
742,2059446293,1,0,0,1,0,0,0,0,0,0,0,0,0
744,2058745419,0,0,0,0,0,0,0,0,1,0,0,0,0
746,2058800957,0,0,0,0,0,0,0,0,1,0,0,0,0
747,2058872449,0,0,0,1,0,0,0,0,0,0,0,0,0
750,2058658649,0,0,0,1,0,0,0,0,0,0,0,0,0
751,2058807075,1,0,0,0,0,0,1,0,0,0,0,0,0
752,2059352151,0,0,0,0,0,1,0,0,0,0,0,0,0
753,2058301575,0,0,0,1,0,0,0,0,0,0,0,0,0
759,2057008291,0,0,0,0,0,0,1,0,0,0,0,0,0
763,2058386921,0,0,0,1,0,0,0,0,0,0,0,0,0
765,2057101467,0,0,0,1,0,0,0,0,0,0,0,0,0
770,2061665467,1,0,0,1,0,0,0,0,0,0,0,0,0
772,2058737481,0,0,0,0,0,0,0,0,0,0,1,0,0
774,2060798743,1,0,0,0,0,0,0,0,0,0,0,0,0
775,2058374457,0,0,0,0,0,0,0,0,0,1,0,0,0
779,2058041863,1,0,1,0,0,0,0,1,0,0,0,0,0
781,2058791569,0,0,0,1,0,0,0,0,0,0,0,0,0
783,2059352165,1,0,0,0,0,0,0,0,0,0,0,0,0
790,2057073989,0,0,0,1,0,0,0,0,0,0,0,0,0
791,2058823475,0,0,0,1,0,0,0,0,0,0,0,0,0
794,2058368391,0,0,0,1,0,0,0,0,0,0,0,0,0
795,2060858293,0,0,0,1,0,0,0,0,0,0,0,0,0
796,2058488995,0,0,0,0,0,0,0,0,1,0,0,0,0
798,2058736875,0,0,0,0,0,0,0,0,1,0,0,0,0
801,2060834033,0,0,0,1,0,0,0,0,0,0,0,0,0
802,2058807919,0,0,0,1,0,0,0,0,0,0,0,0,0
803,2058847999,0,0,1,0,0,0,0,0,0,0,0,0,0
806,2058679607,0,0,0,0,0,0,0,0,1,0,0,0,0
810,2059325049,0,0,0,1,0,0,0,0,0,0,0,0,0
812,2058295325,0,0,0,1,0,0,0,0,0,0,0,0,0
814,2059127757,1,0,0,0,0,0,0,0,0,0,0,0,0
815,2059403963,1,0,0,0,0,0,0,0,0,0,0,0,0
816,2058556507,0,0,0,1,0,0,0,0,0,0,0,0,0
817,2058362175,0,0,0,0,0,0,0,0,1,0,0,0,0
818,2056781407,0,0,0,1,0,0,0,0,0,0,0,0,0
821,2059121649,0,0,0,0,0,0,0,0,1,0,0,0,0
822,2058465951,0,1,0,1,0,0,0,0,0,0,0,0,0
824,2058271917,0,0,0,1,0,0,0,0,0,0,0,0,0
825,2061693979,0,0,0,1,0,0,0,0,0,0,0,0,0
827,2058732671,0,0,0,1,0,0,0,0,0,0,0,0,0
828,2058352029,0,0,0,1,0,0,0,0,0,0,0,0,0
830,2057101533,0,0,0,1,0,0,0,0,0,0,0,0,0
832,2060695993,0,0,0,1,0,0,1,0,0,0,0,0,0
834,2058327709,0,0,0,1,0,0,0,0,0,0,0,0,0
835,2058588775,0,0,0,0,0,0,0,0,1,0,0,0,0
837,2058397449,0,0,0,1,0,0,0,0,0,0,0,0,0
838,2059352197,1,0,0,0,0,0,0,0,0,0,0,0,0
840,2058805553,0,0,0,1,0,0,0,0,0,0,0,0,0
842,2057813909,0,0,0,1,0,0,0,0,0,0,0,0,0
847,2058616195,0,0,1,0,0,0,0,0,0,0,0,0,0
848,2058234013,1,0,0,0,0,0,0,0,0,0,0,0,0
850,2057239931,0,0,0,1,0,0,0,0,0,0,0,0,0
854,2058233951,0,0,0,1,0,0,0,0,0,0,0,0,0
855,2057101613,1,0,0,0,0,0,0,0,0,0,0,0,0
856,2061667933,1,0,0,0,0,0,0,0,0,0,0,0,0
858,2058334693,1,0,0,0,0,0,0,0,0,0,0,0,0
859,2058680159,1,0,0,0,0,0,0,1,0,0,0,0,0
860,2058278527,0,0,0,1,0,0,0,0,0,0,0,0,0
862,2058233779,0,0,0,1,0,0,0,0,0,0,0,0,0
866,2059352205,0,0,0,1,0,0,0,0,0,0,0,0,0
868,2059067635,0,0,0,1,0,0,0,0,0,0,0,0,0
870,2058151025,1,0,0,0,0,0,0,0,0,0,0,0,0
872,2058352705,1,0,0,0,0,0,0,0,0,0,0,0,0
873,2059352207,1,0,0,0,0,0,0,0,0,0,0,0,0
874,2058764251,0,0,0,0,0,0,0,0,1,0,0,0,0
876,2058259717,0,0,0,1,0,0,0,0,0,0,0,0,0
881,2058443199,0,0,0,1,0,0,0,0,0,0,0,0,0
882,2059352209,0,0,0,1,0,0,1,0,0,0,0,0,0
883,2058588393,1,0,0,0,0,0,0,0,0,0,0,0,0
885,2058464719,0,0,0,1,0,0,0,0,0,0,0,0,0
888,2058154725,0,0,0,1,0,0,0,0,0,0,0,0,0
889,2058373697,0,0,0,1,0,0,0,0,0,0,0,0,0
891,2060294519,0,0,0,1,0,0,0,0,0,0,0,0,0
897,2057374075,1,0,0,0,0,0,0,0,0,0,0,0,0
901,2061677189,0,0,1,0,0,0,1,0,0,0,0,0,0
902,2057376419,1,0,0,0,0,0,0,0,0,0,0,0,0
904,2058301893,0,1,0,1,0,0,0,0,0,0,0,0,0
907,2058259135,1,0,0,0,0,0,0,0,0,0,0,0,0
913,2058699763,1,0,0,0,0,0,0,0,0,0,0,0,0
914,2061693853,0,0,0,1,0,0,0,0,0,0,0,0,0
916,2058738221,0,0,1,1,0,0,0,0,0,0,0,0,0
923,2057498405,0,0,0,1,0,0,0,0,0,0,0,0,0
924,2058254221,0,0,0,1,0,0,0,0,0,0,0,0,0
930,2058125211,0,0,0,1,0,0,0,0,0,0,0,0,0
934,2058784099,0,0,1,0,0,0,1,0,0,0,0,0,0
937,2057498125,1,0,0,0,0,0,0,0,0,0,0,0,0
938,2059352239,1,0,0,0,0,0,0,0,0,0,0,0,0
939,2058738735,1,0,0,0,0,0,0,0,0,0,0,0,0
941,2058766911,1,0,0,0,0,0,1,0,0,0,0,0,0
946,2057896377,0,0,0,1,0,0,0,0,0,0,0,0,0
947,2061683137,1,0,0,0,0,0,0,0,0,0,0,0,0
950,2059434457,0,0,0,1,0,0,0,0,0,0,0,0,0
951,2060892867,0,0,0,1,0,0,0,0,0,0,0,0,0
954,2059281975,0,0,0,1,0,0,0,0,0,0,0,0,0
955,2058278647,0,0,0,1,0,0,0,0,0,0,0,0,0
958,2058351527,0,0,0,1,0,0,0,0,0,0,0,0,0
960,2058822905,1,0,0,0,0,0,0,0,0,0,0,0,0
965,2058647011,0,0,0,1,0,0,0,0,0,0,0,0,0
970,2058824111,0,0,0,1,0,0,0,0,0,0,0,0,0
972,2058252197,0,0,0,0,0,0,0,0,0,1,0,0,0
973,2058258849,0,0,0,1,0,0,0,0,0,0,0,0,0
976,2058774243,0,0,0,0,0,0,0,0,0,0,1,0,0
977,2058716993,1,0,0,0,0,0,0,0,0,0,0,0,0
981,2059352261,0,0,0,1,0,0,0,0,0,0,0,0,0
986,2059352283,0,0,0,1,0,0,0,0,0,0,0,0,0
987,2059352287,0,0,0,1,0,0,0,0,0,0,0,0,0
988,2059352299,0,0,0,0,0,0,0,0,1,0,0,0,0
990,2058235755,0,0,0,1,0,0,0,0,0,0,0,0,0
999,2058790831,0,0,0,0,0,0,0,0,1,0,0,0,0
1003,2058253621,1,0,0,0,0,0,0,0,0,0,0,0,0
1011,2058252331,1,0,0,0,0,0,0,0,0,0,0,0,0
1012,2058259953,0,0,0,0,0,0,0,0,1,0,0,0,0
1019,2059351929,0,0,0,0,0,0,0,0,0,0,0,1,0
1021,2059351931,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,2055791575,0,0,0,0,0,0,0,0,1,0,0,0,0
1029,2057897425,1,0,0,0,0,0,0,0,0,0,0,0,0
1032,2057868111,1,0,0,0,0,0,0,0,0,0,0,0,0
1040,2057497625,0,0,0,1,0,0,0,0,0,0,0,0,0
1042,2061361967,0,0,0,0,0,0,0,1,0,0,0,0,0
1043,2056600623,0,0,0,1,0,0,0,0,0,0,0,0,0
1046,2058744751,0,0,0,1,0,0,0,0,0,0,0,0,0
1047,2058368267,1,0,0,0,0,0,0,0,0,0,0,0,0
1049,2055581081,0,0,0,0,0,0,0,0,0,0,0,1,0
1057,2058328067,0,0,0,0,0,1,0,0,0,0,0,0,0
1066,2056636029,1,0,0,0,0,0,0,0,0,0,0,0,0
1067,2058252705,0,0,1,0,0,0,0,0,0,0,0,0,0
1069,2058208355,1,0,0,0,0,0,0,0,0,0,0,0,0
1072,2056529821,1,0,0,0,0,0,0,0,0,0,0,0,0
1073,2058334919,0,0,0,1,0,0,1,0,0,0,0,0,0
1078,2059351939,1,0,0,0,0,0,0,0,0,0,0,0,0
1079,2060383531,0,0,0,0,0,0,0,0,0,0,0,1,0
1083,2057554033,1,0,0,0,0,0,0,0,0,0,0,0,0
1085,2059442885,0,0,0,0,0,0,1,0,0,0,0,0,0
1087,2058252401,1,0,0,0,0,0,0,0,0,0,0,0,0
1094,2058301945,0,0,0,0,0,0,1,0,0,0,0,0,0
1099,2059249467,0,0,0,0,0,0,0,0,1,0,0,0,0
1102,2058865055,0,0,0,0,0,0,0,1,0,0,0,0,0
1103,2058130209,0,0,0,0,0,0,0,0,0,0,0,1,0
1105,2058764009,0,0,0,0,0,0,0,1,0,0,0,0,0
1108,2059351943,0,0,0,0,0,0,0,0,0,0,0,1,0
1119,2056451087,1,0,0,0,0,0,0,0,0,0,0,0,0
1122,2050149793,0,0,0,0,0,1,0,0,0,0,0,0,0
1123,2059351951,0,0,0,1,0,0,0,0,0,0,0,0,0
1124,2059035791,0,0,0,0,0,0,0,0,1,0,0,0,0
1125,2060759483,1,0,0,0,0,0,0,0,0,0,0,0,0
1127,2059403751,0,0,0,0,0,0,0,0,1,0,0,0,0
1128,2056783287,1,0,0,0,0,0,0,0,0,0,0,0,0
1129,2057936491,0,0,0,1,0,0,0,0,0,0,0,0,0
1132,2058768041,0,0,0,0,0,0,1,0,0,0,0,0,0
1133,2058328539,0,0,0,0,0,0,1,0,0,0,0,0,0
